股票代码,股票简称,股票市场类型
002649.SZ,博彦科技,a股
002651.SZ,利君股份,a股
002652.SZ,扬子新材,a股
002659.SZ,凯文教育,a股
002660.SZ,茂硕电源,a股
002661.SZ,克明食品,a股
002663.SZ,普邦股份,a股
002664.SZ,信质集团,a股
002666.SZ,德联集团,a股
002669.SZ,康达新材,a股
002671.SZ,龙泉股份,a股
002672.SZ,东江环保,a股
002675.SZ,东诚药业,a股
002674.SZ,兴业科技,a股
002677.SZ,浙江美大,a股
002679.SZ,福建金森,a股
002682.SZ,龙洲股份,a股
002686.SZ,亿利达,a股
002687.SZ,乔治白,a股
002696.SZ,百洋股份,a股
002697.SZ,红旗连锁,a股
002698.SZ,博实股份,a股
002701.SZ,奥瑞金,a股
002702.SZ,海欣食品,a股
002703.SZ,浙江世宝,a股
002705.SZ,新宝股份,a股
002706.SZ,良信股份,a股
002712.SZ,思美传媒,a股
002715.SZ,登云股份,a股
002723.SZ,小崧股份,a股
002722.SZ,物产金轮,a股
002725.SZ,跃岭股份,a股
002727.SZ,一心堂,a股
002732.SZ,燕塘乳业,a股
002733.SZ,雄韬股份,a股
002737.SZ,葵花药业,a股
002741.SZ,光华科技,a股
002743.SZ,富煌钢构,a股
002745.SZ,木林森,a股
002746.SZ,仙坛股份,a股
002753.SZ,永东股份,a股
002760.SZ,凤形股份,a股
002763.SZ,汇洁股份,a股
002767.SZ,先锋电子,a股
002769.SZ,普路通,a股
002771.SZ,真视通,a股
002775.SZ,文科股份,a股
002774.SZ,快意电梯,a股
002778.SZ,中晟高科,a股
002780.SZ,三夫户外,a股
002782.SZ,可立克,a股
002783.SZ,凯龙股份,a股
002790.SZ,瑞尔特,a股
002793.SZ,罗欣药业,a股
002795.SZ,永和智控,a股
002798.SZ,帝欧水华,a股
002799.SZ,环球印务,a股
002802.SZ,洪汇新材,a股
002806.SZ,华锋股份,a股
002809.SZ,红墙股份,a股
002810.SZ,山东赫达,a股
002811.SZ,郑中设计,a股
002813.SZ,路畅科技,a股
002815.SZ,崇达技术,a股
002817.SZ,黄山胶囊,a股
002820.SZ,桂发祥,a股
002826.SZ,易明医药,a股
002825.SZ,纳尔股份,a股
002828.SZ,贝肯能源,a股
002830.SZ,名雕股份,a股
002833.SZ,弘亚数控,a股
002832.SZ,比音勒芬,a股
002836.SZ,新宏泽,a股
002835.SZ,同为股份,a股
002838.SZ,道恩股份,a股
002847.SZ,盐津铺子,a股
002849.SZ,威星智能,a股
002852.SZ,道道全,a股
002853.SZ,皮阿诺,a股
002857.SZ,三晖电气,a股
002858.SZ,力盛体育,a股
002859.SZ,洁美科技,a股
002860.SZ,星帅尔,a股
002861.SZ,瀛通通讯,a股
002862.SZ,实丰文化,a股
002863.SZ,今飞凯达,a股
002864.SZ,盘龙药业,a股
002871.SZ,伟隆股份,a股
002872.SZ,ST天圣,a股
002875.SZ,安奈儿,a股
002873.SZ,新天药业,a股
002876.SZ,三利谱,a股
002877.SZ,智能自控,a股
002879.SZ,长缆科技,a股
002887.SZ,绿茵生态,a股
002888.SZ,惠威科技,a股
002890.SZ,弘宇股份,a股
002891.SZ,中宠股份,a股
002895.SZ,川恒股份,a股
002893.SZ,京能热力,a股
002899.SZ,英派斯,a股
002900.SZ,哈三联,a股
002901.SZ,大博医疗,a股
002903.SZ,宇环数控,a股
002905.SZ,金逸影视,a股
002906.SZ,华阳集团,a股
002910.SZ,庄园牧场,a股
002909.SZ,集泰股份,a股
002911.SZ,佛燃能源,a股
002913.SZ,奥士康,a股
002917.SZ,金奥博,a股
